,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,system_attrs
,,,,,,lambda1_dim1,lambda1_dim2,lambda2_dim1,lambda2_dim2,learning_rate,_number
0,0,TrialState.COMPLETE,0.4895537495613098,2019-08-15 13:25:15.770288,2019-08-15 13:27:52.332669,0.0004386199473672867,0.0030300160841816217,0.8500000000000001,0.1,5.5588843892354614e-05,0
1,1,TrialState.COMPLETE,0.4970153272151947,2019-08-15 13:27:52.333395,2019-08-15 13:30:24.618900,6.7925408048410995e-06,6.16501510469285e-05,0.35000000000000003,0.6000000000000001,1.4073580622717866e-06,1
2,2,TrialState.COMPLETE,0.4850110411643982,2019-08-15 13:30:24.619484,2019-08-15 13:32:59.841701,0.0020498351588982004,0.006123705029504486,0.25,0.35000000000000003,2.2840372095773547e-05,2
3,3,TrialState.COMPLETE,0.5035293102264404,2019-08-15 13:32:59.842461,2019-08-15 13:35:35.165074,0.0014187579177630332,1.3302965269186487e-05,0.2,0.9500000000000001,0.00032555585744749213,3
4,4,TrialState.COMPLETE,0.48661094903945923,2019-08-15 13:35:35.165916,2019-08-15 13:38:10.789166,0.002823599564884636,0.00013735596300474547,0.2,0.45,1.8813984980647169e-06,4
5,5,TrialState.COMPLETE,0.4994175136089325,2019-08-15 13:38:10.790147,2019-08-15 13:40:43.096603,1.1012217921606203e-05,1.6841375974215764e-06,0.9000000000000001,0.7000000000000001,1.469443337941544e-05,5
6,6,TrialState.COMPLETE,0.5244451761245728,2019-08-15 13:40:43.097743,2019-08-15 13:43:15.548579,0.0010052331038844784,0.004018576956805335,0.1,0.35000000000000003,3.562767770986476e-05,6
7,7,TrialState.COMPLETE,0.4509914219379425,2019-08-15 13:43:15.549856,2019-08-15 13:45:45.358618,0.00012697992856543114,0.001088558544796743,0.6000000000000001,0.6000000000000001,1.983308165604902e-05,7
8,8,TrialState.COMPLETE,0.47363317012786865,2019-08-15 13:45:45.360195,2019-08-15 13:48:16.056710,0.00012613191078655796,0.0021464646031409467,0.35000000000000003,1.0,5.035687940408623e-05,8
