,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,l1_neurons,learning_rate,weight_decay,_number
0,0,TrialState.COMPLETE,0.6545219421386719,2019-07-22 11:02:25.853548,2019-07-22 11:04:46.600684,386,5.942400401735726e-05,1.7497284862122988e-06,0
1,1,TrialState.COMPLETE,0.7277108728885651,2019-07-22 11:04:46.601115,2019-07-22 11:07:16.578096,973,0.000293412384833444,1.6943538345677336e-07,1
2,2,TrialState.COMPLETE,0.4809608906507492,2019-07-22 11:07:16.578579,2019-07-22 11:09:42.149634,537,2.502805786289448e-05,8.629077688697886e-05,2
3,3,TrialState.COMPLETE,0.4722638875246048,2019-07-22 11:09:42.150230,2019-07-22 11:12:05.384701,496,1.4485881284975373e-06,1.0934574984936077e-07,3
4,4,TrialState.COMPLETE,0.47605426609516144,2019-07-22 11:12:05.385373,2019-07-22 11:14:26.771342,434,1.5108676357143254e-06,3.170840041727031e-05,4
5,5,TrialState.COMPLETE,0.6164697110652924,2019-07-22 11:14:26.772113,2019-07-22 11:16:51.332772,685,0.00014229698685338965,0.0007618708881141066,5
6,6,TrialState.COMPLETE,0.7687610387802124,2019-07-22 11:16:51.333692,2019-07-22 11:19:20.487967,960,0.0001698534162883921,2.117110134403179e-05,6
7,7,TrialState.COMPLETE,0.5544070303440094,2019-07-22 11:19:20.489003,2019-07-22 11:21:49.447470,963,0.00043406088538040056,9.063132540632682e-05,7
8,8,TrialState.COMPLETE,0.7655227780342102,2019-07-22 11:21:49.448578,2019-07-22 11:24:18.064180,911,0.0006185500525718691,0.0002460688888349032,8
9,9,TrialState.COMPLETE,0.49798642098903656,2019-07-22 11:24:18.065380,2019-07-22 11:26:46.002495,866,5.522837330086481e-06,9.600190413961792e-05,9
10,10,TrialState.COMPLETE,0.46381743252277374,2019-07-22 11:26:46.003839,2019-07-22 11:29:04.747339,242,1.1119810561528678e-06,1.5474562179295726e-07,10
11,11,TrialState.COMPLETE,0.5227941572666168,2019-07-22 11:29:04.748772,2019-07-22 11:31:24.139555,129,7.235732103711478e-06,1.4102192226431448e-06,11
12,12,TrialState.COMPLETE,0.44336336851119995,2019-07-22 11:31:24.141086,2019-07-22 11:33:42.707077,135,5.651302900512808e-06,6.356114297771146e-07,12
13,13,TrialState.COMPLETE,0.4927230775356293,2019-07-22 11:33:42.708690,2019-07-22 11:36:01.333032,129,5.307106718983866e-06,1.3424911862955858e-06,13
14,14,TrialState.COMPLETE,0.4938480108976364,2019-07-22 11:36:01.334741,2019-07-22 11:38:25.624474,720,1.7366326928199633e-05,3.5504348824241145e-06,14
15,15,TrialState.COMPLETE,0.5105579495429993,2019-07-22 11:38:25.626339,2019-07-22 11:40:43.787610,281,2.9386717839725736e-06,3.65816660841758e-07,15
16,16,TrialState.COMPLETE,0.49296995997428894,2019-07-22 11:40:43.789582,2019-07-22 11:43:02.298497,279,1.3033828374709534e-05,4.6026595086282996e-07,16
17,17,TrialState.COMPLETE,0.5030222833156586,2019-07-22 11:43:02.300548,2019-07-22 11:45:20.799424,229,2.044805979534454e-06,3.7734217190558024e-07,17
18,18,TrialState.COMPLETE,0.4552410989999771,2019-07-22 11:45:20.801560,2019-07-22 11:47:39.531825,193,2.8225408102177405e-06,1.0026535410376632e-07,18
