,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,learning_rate,weight_decay,_number
0,0,TrialState.COMPLETE,0.49440881609916687,2019-07-17 18:23:55.361944,2019-07-17 18:25:21.592279,9.662839123656404e-06,2.921920396736338e-07,0
1,1,TrialState.COMPLETE,0.34806326031684875,2019-07-17 18:25:21.592699,2019-07-17 18:26:44.370171,3.514560080897272e-05,1.31064654560329e-05,1
2,2,TrialState.COMPLETE,0.5944167971611023,2019-07-17 18:26:44.370624,2019-07-17 18:28:07.557334,1.2521414606225994e-06,0.0001375063613373755,2
3,3,TrialState.COMPLETE,0.4085937738418579,2019-07-17 18:28:07.557865,2019-07-17 18:29:31.339833,4.279129073012108e-05,0.0007582376720584805,3
4,4,TrialState.COMPLETE,0.35181549191474915,2019-07-17 18:29:31.340482,2019-07-17 18:30:54.794536,4.4310931341771636e-05,5.6614573012911734e-05,4
5,5,TrialState.COMPLETE,0.5709853768348694,2019-07-17 18:30:54.795573,2019-07-17 18:32:18.493455,2.217743269293656e-06,3.358527014547806e-06,5
6,6,TrialState.COMPLETE,0.41048790514469147,2019-07-17 18:32:18.494248,2019-07-17 18:33:42.727326,0.00048012017427200455,6.774545316576987e-07,6
7,7,TrialState.COMPLETE,0.4706859290599823,2019-07-17 18:33:42.728200,2019-07-17 18:35:12.242691,0.000957110942963847,1.3136484866242475e-07,7
8,8,TrialState.COMPLETE,0.45191507041454315,2019-07-17 18:35:12.243840,2019-07-17 18:36:35.589109,2.5685631587745207e-05,6.074066789323565e-07,8
9,9,TrialState.COMPLETE,0.5834325850009918,2019-07-17 18:36:35.590184,2019-07-17 18:37:59.043149,3.2212045567258727e-06,0.0004885887336930725,9
10,10,TrialState.COMPLETE,0.4299457222223282,2019-07-17 18:37:59.044308,2019-07-17 18:39:22.145451,0.00019718828982665895,1.1719390545257183e-05,10
11,11,TrialState.COMPLETE,0.4437327980995178,2019-07-17 18:39:22.146672,2019-07-17 18:40:44.113027,0.0001001529056098592,8.771017792301052e-06,11
12,12,TrialState.COMPLETE,0.5110793709754944,2019-07-17 18:40:44.114341,2019-07-17 18:42:05.689410,7.934946624843618e-06,6.215800134508094e-05,12
13,13,TrialState.COMPLETE,0.35910990834236145,2019-07-17 18:42:05.693246,2019-07-17 18:43:27.246484,0.00016680514480809402,3.527984745968556e-06,13
14,14,TrialState.COMPLETE,0.47051313519477844,2019-07-17 18:43:27.247959,2019-07-17 18:44:48.601557,1.0380860601226474e-05,2.0674686660990528e-05,14
15,15,TrialState.COMPLETE,0.4128042310476303,2019-07-17 18:44:48.603096,2019-07-17 18:46:09.329722,2.1449853000345194e-05,2.0822249876754616e-06,15
