,number,state,value,datetime_start,datetime_complete,params,params,params,system_attrs
,,,,,,l1_neurons,learning_rate,weight_decay,_number
0,0,TrialState.COMPLETE,0.4716082066297531,2019-07-18 17:18:35.563186,2019-07-18 17:20:07.777759,82,6.006175900751229e-05,3.497256543044762e-07,0
1,1,TrialState.COMPLETE,0.46373826265335083,2019-07-18 17:20:07.778238,2019-07-18 17:21:31.036665,153,0.00010202223720436064,2.643066821851429e-06,1
2,2,TrialState.COMPLETE,0.5326955318450928,2019-07-18 17:21:31.055784,2019-07-18 17:22:53.739953,135,4.866669778138388e-06,2.446719333850978e-05,2
3,3,TrialState.COMPLETE,0.4431433081626892,2019-07-18 17:22:53.740554,2019-07-18 17:24:15.011085,161,0.00047737683231182743,1.946080938588876e-07,3
4,4,TrialState.COMPLETE,0.5045806169509888,2019-07-18 17:24:15.011786,2019-07-18 17:25:40.059833,78,7.794616672078792e-06,0.0004574452803243405,4
5,5,TrialState.COMPLETE,0.4801992177963257,2019-07-18 17:25:40.060666,2019-07-18 17:27:07.254877,161,9.341052022944076e-06,1.3543755699798957e-07,5
6,6,TrialState.COMPLETE,0.4423479586839676,2019-07-18 17:27:07.255766,2019-07-18 17:28:32.865783,203,8.518802168674043e-05,1.3848604586467558e-07,6
7,7,TrialState.COMPLETE,0.48293544352054596,2019-07-18 17:28:32.866847,2019-07-18 17:30:02.584018,37,6.020075362957302e-05,0.0003292747952762949,7
8,8,TrialState.COMPLETE,0.448827400803566,2019-07-18 17:30:02.585261,2019-07-18 17:31:30.340542,44,0.0002124762956471995,0.00042295152274426787,8
9,9,TrialState.COMPLETE,0.515285462141037,2019-07-18 17:31:30.341901,2019-07-18 17:32:58.752486,103,5.802567101786838e-06,8.904906194025023e-06,9
10,10,TrialState.COMPLETE,0.4807935804128647,2019-07-18 17:32:58.753795,2019-07-18 17:34:26.474244,234,0.0008845531000858947,1.0537548941052625e-06,10
11,11,TrialState.COMPLETE,0.6590707898139954,2019-07-18 17:34:26.475734,2019-07-18 17:35:53.795466,242,1.0134818873416986e-06,6.20248943657494e-05,11
12,12,TrialState.COMPLETE,0.5048895180225372,2019-07-18 17:35:53.797027,2019-07-18 17:37:21.341863,203,1.9636781143566612e-05,9.168670126462962e-07,12
13,13,TrialState.COMPLETE,0.41555649042129517,2019-07-18 17:37:21.343490,2019-07-18 17:38:48.902902,209,0.0002455636991441893,5.400376212620654e-06,13
14,14,TrialState.COMPLETE,0.4795074313879013,2019-07-18 17:38:48.904664,2019-07-18 17:40:12.463243,201,0.0003312682314218666,8.002477360352354e-05,14
15,15,TrialState.COMPLETE,0.4534844309091568,2019-07-18 17:40:12.465123,2019-07-18 17:41:34.235116,253,0.0009238787442298696,7.131071229173272e-06,15
16,16,TrialState.COMPLETE,0.6333917379379272,2019-07-18 17:41:34.237055,2019-07-18 17:43:00.338772,192,1.3723057900131159e-06,2.693597099742432e-06,16
17,17,TrialState.COMPLETE,0.4966581463813782,2019-07-18 17:43:00.340820,2019-07-18 17:44:22.654692,214,0.0001688898179742424,5.468378297173794e-07,17
18,18,TrialState.COMPLETE,0.4620264619588852,2019-07-18 17:44:22.656843,2019-07-18 17:45:44.402866,184,3.089324018106425e-05,1.1167894025717559e-07,18
19,19,TrialState.COMPLETE,0.44453248381614685,2019-07-18 17:45:44.405134,2019-07-18 17:47:06.643442,227,0.00011762171862260288,2.8125481554210525e-06,19
20,20,TrialState.COMPLETE,0.4673312306404114,2019-07-18 17:47:06.645812,2019-07-18 17:48:28.717560,253,0.0004460896655642297,0.00010501877159138436,20
21,21,TrialState.COMPLETE,0.4259699583053589,2019-07-18 17:48:28.720038,2019-07-18 17:49:51.333789,179,6.394819509831594e-05,2.0169826168803714e-05,21
22,22,TrialState.COMPLETE,0.5521570146083832,2019-07-18 17:49:51.336395,2019-07-18 17:51:13.672735,174,2.290002462874807e-05,2.5641009295465206e-05,22
23,23,TrialState.COMPLETE,0.46319037675857544,2019-07-18 17:51:13.675424,2019-07-18 17:52:36.539017,141,5.1194361922404594e-05,2.0729456611043407e-05,23
24,24,TrialState.COMPLETE,0.47932276129722595,2019-07-18 17:52:36.541755,2019-07-18 17:53:58.878653,115,0.00027517626171250304,7.540312451922612e-06,24
25,25,TrialState.COMPLETE,0.529201328754425,2019-07-18 17:53:58.881508,2019-07-18 17:55:20.843602,224,1.3694968746739597e-05,0.00014814189525087378,25
26,26,TrialState.COMPLETE,0.6929648518562317,2019-07-18 17:55:20.846562,2019-07-18 17:56:42.941162,173,3.0211207996185263e-06,0.0009817692677828655,26
27,27,TrialState.COMPLETE,0.450096994638443,2019-07-18 17:56:42.944323,2019-07-18 17:58:04.250895,2,0.0006901207358767798,4.227880518618312e-06,27
28,28,TrialState.COMPLETE,0.4209376871585846,2019-07-18 17:58:04.254085,2019-07-18 17:59:25.610960,120,4.8352884489820016e-05,2.0428514932739296e-05,28
29,29,TrialState.COMPLETE,0.49382902681827545,2019-07-18 17:59:25.614246,2019-07-18 18:00:47.159329,78,3.814097104511048e-05,4.426610191270689e-05,29
30,30,TrialState.COMPLETE,0.43982595205307007,2019-07-18 18:00:47.162824,2019-07-18 18:02:08.265660,96,0.00013751700174643457,1.3458958106963942e-06,30
31,31,TrialState.COMPLETE,0.43639039993286133,2019-07-18 18:02:08.269202,2019-07-18 18:03:29.999900,59,0.000223261990509888,1.312687575452867e-05,31
32,32,TrialState.COMPLETE,0.44204047322273254,2019-07-18 18:03:30.003564,2019-07-18 18:04:51.291306,125,7.740022581112785e-05,2.7287340506424056e-07,32
33,33,TrialState.COMPLETE,0.35311396420001984,2019-07-18 18:04:51.294983,2019-07-18 18:06:13.020776,145,0.0005598894124172983,0.0001907032051083641,33
34,34,TrialState.COMPLETE,0.4041224420070648,2019-07-18 18:06:13.024621,2019-07-18 18:07:34.546235,142,0.0006011689436729485,0.00019611117708741443,34
35,35,TrialState.COMPLETE,0.38788220286369324,2019-07-18 18:07:34.550127,2019-07-18 18:08:56.831456,156,0.0006237815805763899,0.00020043835555032886,35
36,36,TrialState.COMPLETE,0.4160783886909485,2019-07-18 18:08:56.835481,2019-07-18 18:10:19.158683,152,0.0004010498137460225,0.0008644424086393139,36
37,37,TrialState.COMPLETE,0.4250755161046982,2019-07-18 18:10:19.162780,2019-07-18 18:11:40.808610,160,0.0006092327320921014,0.0006437911155952369,37
38,38,TrialState.COMPLETE,0.4288678765296936,2019-07-18 18:11:40.812973,2019-07-18 18:13:02.958099,95,0.000983069311796012,0.00026800257211598874,38
39,39,TrialState.COMPLETE,0.7739914655685425,2019-07-18 18:13:02.962525,2019-07-18 18:14:24.381262,111,2.9634084224122274e-06,4.138332930216441e-05,39
40,40,TrialState.COMPLETE,0.4224962294101715,2019-07-18 18:14:24.385678,2019-07-18 18:15:45.384902,15,0.0001394852256190179,0.000553177064803941,40
41,41,TrialState.COMPLETE,0.3845183700323105,2019-07-18 18:15:45.389434,2019-07-18 18:17:07.731888,67,0.00010053194118566587,0.00014450421125448154,41
42,42,TrialState.COMPLETE,0.4353586584329605,2019-07-18 18:17:07.736551,2019-07-18 18:18:28.040090,65,0.00010378920626021687,0.00035013369364633045,42
43,43,TrialState.COMPLETE,0.5443811118602753,2019-07-18 18:18:28.044762,2019-07-18 18:19:50.848849,26,1.3230136315698365e-05,0.00011384623279563507,43
44,44,TrialState.COMPLETE,0.42252668738365173,2019-07-18 18:19:50.853834,2019-07-18 18:21:16.988856,39,0.0001850312213356352,5.213136812333262e-05,44
45,45,TrialState.COMPLETE,0.4147496223449707,2019-07-18 18:21:16.993989,2019-07-18 18:22:42.255347,51,0.00031955549136623764,3.0943164208158706e-05,45
46,46,TrialState.COMPLETE,0.45750878751277924,2019-07-18 18:22:42.260373,2019-07-18 18:24:11.298589,90,8.86029283044394e-05,1.2749058636443277e-05,46
47,47,TrialState.COMPLETE,0.4507225453853607,2019-07-18 18:24:11.303777,2019-07-18 18:25:34.077702,69,3.065065039255178e-05,8.156143341462925e-05,47
48,48,TrialState.COMPLETE,0.409634530544281,2019-07-18 18:25:34.082935,2019-07-18 18:26:57.391836,131,0.0003724069520958413,0.0007176776838966666,48
49,49,TrialState.COMPLETE,0.7481990158557892,2019-07-18 18:26:57.397128,2019-07-18 18:28:20.966865,106,6.576870063556378e-06,0.0003902789832935164,49
50,50,TrialState.COMPLETE,0.4775857627391815,2019-07-18 18:28:20.972336,2019-07-18 18:29:44.852161,81,1.698523261633096e-05,0.00019117305291504278,50
51,51,TrialState.COMPLETE,0.47662176191806793,2019-07-18 18:29:44.857766,2019-07-18 18:31:07.852015,12,0.00016315304695031582,7.95753478375082e-05,51
52,52,TrialState.COMPLETE,0.46669289469718933,2019-07-18 18:31:07.857780,2019-07-18 18:32:31.109807,29,3.9918484077435126e-05,0.0002433098839870114,52
53,53,TrialState.COMPLETE,0.43268245458602905,2019-07-18 18:32:31.115659,2019-07-18 18:33:54.823192,193,6.430354119149999e-05,0.00011785642243546026,53
54,54,TrialState.COMPLETE,0.5139395594596863,2019-07-18 18:33:54.830220,2019-07-18 18:35:18.785805,56,9.176827033679044e-06,3.1791580685752915e-05,54
55,55,TrialState.COMPLETE,0.43297863006591797,2019-07-18 18:35:18.791793,2019-07-18 18:36:42.532987,141,0.0007852752010734474,0.0004618874383737513,55
56,56,TrialState.COMPLETE,0.4385843575000763,2019-07-18 18:36:42.539092,2019-07-18 18:38:06.409022,71,2.352201927884021e-05,1.2935599309184113e-05,56
57,57,TrialState.COMPLETE,0.5355015397071838,2019-07-18 18:38:06.415182,2019-07-18 18:39:30.030583,168,0.0005025239872973523,6.639737936850222e-05,57
58,58,TrialState.COMPLETE,0.47956758737564087,2019-07-18 18:39:30.037288,2019-07-18 18:40:53.293636,91,0.0002642282633567849,1.5771996388092937e-06,58
59,59,TrialState.COMPLETE,0.5497146546840668,2019-07-18 18:40:53.300114,2019-07-18 18:42:17.152011,46,4.416212668126533e-06,4.959296905729936e-06,59
60,60,TrialState.COMPLETE,0.42881475389003754,2019-07-18 18:42:17.158576,2019-07-18 18:43:40.009281,187,0.00013027978087874154,3.6782685658977717e-06,60
61,61,TrialState.COMPLETE,0.5859533548355103,2019-07-18 18:43:40.015862,2019-07-18 18:45:03.732049,2,0.0001976337251332729,4.3615173445997054e-07,61
62,62,TrialState.COMPLETE,0.44278110563755035,2019-07-18 18:45:03.738866,2019-07-18 18:46:27.165567,150,6.8311287422863e-05,0.00014872102471483975,62
63,63,TrialState.COMPLETE,0.6925927698612213,2019-07-18 18:46:27.172427,2019-07-18 18:47:51.292553,240,1.146269659828002e-06,0.0009865534429041992,63
64,64,TrialState.COMPLETE,0.4937359392642975,2019-07-18 18:47:51.299531,2019-07-18 18:49:15.729126,101,9.897400720215716e-05,3.7658473513098365e-05,64
65,65,TrialState.COMPLETE,0.45068369805812836,2019-07-18 18:49:15.736133,2019-07-18 18:50:39.209394,162,0.0005180706936791068,0.0002713317211172834,65
66,66,TrialState.COMPLETE,0.43501265347003937,2019-07-18 18:50:39.216582,2019-07-18 18:52:02.438234,123,0.0009818548016597831,0.00018284058775779028,66
67,67,TrialState.COMPLETE,0.459442675113678,2019-07-18 18:52:02.445494,2019-07-18 18:53:26.515132,222,0.0007745844177486696,0.00046606411290335596,67
68,68,TrialState.COMPLETE,0.43095187842845917,2019-07-18 18:53:26.522439,2019-07-18 18:54:51.564105,136,0.00033969186068687207,0.0007716894083540865,68
69,69,TrialState.COMPLETE,0.34590473771095276,2019-07-18 18:54:51.571639,2019-07-18 18:56:15.766644,210,0.0002876382261532646,9.104643368989038e-05,69
70,70,TrialState.COMPLETE,0.42484354972839355,2019-07-18 18:56:15.774206,2019-07-18 18:57:40.514205,217,0.0002462291783286091,5.8925793982241196e-05,70
71,71,TrialState.COMPLETE,0.4198448359966278,2019-07-18 18:57:40.521838,2019-07-18 18:59:04.490365,210,0.0004452286162126338,9.182078898046543e-05,71
72,72,TrialState.COMPLETE,0.4184585511684418,2019-07-18 18:59:04.498584,2019-07-18 19:00:28.797707,254,0.00015485805722873923,0.00014174301483276883,72
73,73,TrialState.COMPLETE,0.4867686331272125,2019-07-18 19:00:28.805648,2019-07-18 19:01:53.112636,238,0.000300276749202401,1.6165887012961774e-05,73
74,74,TrialState.COMPLETE,0.49623697996139526,2019-07-18 19:01:53.120604,2019-07-18 19:03:18.447033,195,4.653613635222082e-05,2.6839986013107634e-05,74
75,75,TrialState.COMPLETE,0.4095699042081833,2019-07-18 19:03:18.455087,2019-07-18 19:04:42.160564,115,0.00011185366677195072,7.187302370298311e-06,75
76,76,TrialState.COMPLETE,0.45801936089992523,2019-07-18 19:04:42.168745,2019-07-18 19:06:06.690259,230,7.842096935972672e-05,0.0002911741528712957,76
77,77,TrialState.COMPLETE,0.44906342029571533,2019-07-18 19:06:06.698663,2019-07-18 19:07:29.599573,246,0.00018672214278490906,6.915150815287011e-05,77
78,78,TrialState.COMPLETE,0.408752977848053,2019-07-18 19:07:29.608181,2019-07-18 19:08:52.756002,178,5.370720178543154e-05,1.0121237322954547e-05,78
79,79,TrialState.COMPLETE,0.43932752311229706,2019-07-18 19:08:52.764546,2019-07-18 19:10:16.464231,202,0.00021508964849870663,4.939550220890351e-05,79
80,80,TrialState.COMPLETE,0.3952823877334595,2019-07-18 19:10:16.472909,2019-07-18 19:11:40.423908,167,0.0007740932287611233,0.0006266940064990207,80
81,81,TrialState.COMPLETE,0.4211246967315674,2019-07-18 19:11:40.432869,2019-07-18 19:13:04.527058,148,0.00042005100600753183,0.00012309268167019674,81
82,82,TrialState.COMPLETE,0.46147680282592773,2019-07-18 19:13:04.535876,2019-07-18 19:14:29.094555,182,3.456834262654254e-05,1.741072981327755e-05,82
83,83,TrialState.COMPLETE,0.42964261770248413,2019-07-18 19:14:29.103616,2019-07-18 19:15:54.303596,30,0.0005627647846158019,0.00033057056390598666,83
84,84,TrialState.COMPLETE,0.47799813747406006,2019-07-18 19:15:54.312722,2019-07-18 19:17:17.429662,87,2.5631630274745513e-05,0.00022637362660982052,84
85,85,TrialState.COMPLETE,0.46260467171669006,2019-07-18 19:17:17.438865,2019-07-18 19:18:40.272988,129,0.00012142226415115553,9.759252374471594e-05,85
86,86,TrialState.COMPLETE,0.4186868220567703,2019-07-18 19:18:40.282949,2019-07-18 19:20:04.011885,72,0.00036065577421646674,0.0005500618174135424,86
87,87,TrialState.COMPLETE,0.586842805147171,2019-07-18 19:20:04.021212,2019-07-18 19:21:28.302333,20,1.936333179090975e-06,9.445565680318878e-06,87
88,88,TrialState.COMPLETE,0.455040842294693,2019-07-18 19:21:28.312181,2019-07-18 19:22:52.347157,107,1.3888177518011321e-05,0.00016441776623841306,88
89,89,TrialState.COMPLETE,0.4382978528738022,2019-07-18 19:22:52.357767,2019-07-18 19:24:17.086565,58,0.0006861166544850964,0.00038953964135426093,89
90,90,TrialState.COMPLETE,0.4011613577604294,2019-07-18 19:24:17.096355,2019-07-18 19:25:39.947427,119,0.00022542321697778062,3.496129615038968e-05,90
91,91,TrialState.COMPLETE,0.39901019632816315,2019-07-18 19:25:39.957227,2019-07-18 19:27:02.203129,146,9.157057568895596e-05,2.065224692263225e-06,91
92,92,TrialState.COMPLETE,0.39329804480075836,2019-07-18 19:27:02.213323,2019-07-18 19:28:25.270323,134,0.00030562864507683766,5.197277724438203e-05,92
93,93,TrialState.COMPLETE,0.42421549558639526,2019-07-18 19:28:25.280467,2019-07-18 19:29:48.107707,188,0.0001446906961786641,0.0008764053362818519,93
94,94,TrialState.COMPLETE,0.4755343049764633,2019-07-18 19:29:48.118573,2019-07-18 19:31:10.886828,38,7.635060683823285e-05,2.2367051229196074e-05,94
95,95,TrialState.COMPLETE,0.4038577973842621,2019-07-18 19:31:10.897067,2019-07-18 19:32:34.619337,97,5.894669429662958e-05,7.941111750911344e-05,95
96,96,TrialState.COMPLETE,0.4199584722518921,2019-07-18 19:32:34.629690,2019-07-18 19:33:57.715740,155,4.3553774779912795e-05,2.679916232873742e-05,96
97,97,TrialState.COMPLETE,0.42637383937835693,2019-07-18 19:33:57.725949,2019-07-18 19:35:19.670860,80,0.0008375001133195307,7.356612165089174e-07,97
98,98,TrialState.COMPLETE,0.4187232553958893,2019-07-18 19:35:19.681246,2019-07-18 19:36:41.322076,208,0.00027663878532850617,4.229614054213071e-05,98
99,99,TrialState.COMPLETE,0.4986255168914795,2019-07-18 19:36:41.332674,2019-07-18 19:38:02.976488,172,1.8704514148924576e-05,0.00013504446693791215,99
100,100,TrialState.COMPLETE,0.42775045335292816,2019-07-18 19:38:02.987119,2019-07-18 19:39:24.848128,247,2.6801570481884066e-05,0.00020958712462733293,100
101,101,TrialState.COMPLETE,0.4840240627527237,2019-07-18 19:39:24.858841,2019-07-18 19:40:46.026787,46,0.00017579336112814785,0.0005173879428734509,101
102,102,TrialState.COMPLETE,0.483222633600235,2019-07-18 19:40:46.037794,2019-07-18 19:42:08.121442,63,0.0004699078873186289,6.194246380227086e-06,102
103,103,TrialState.COMPLETE,0.47230012714862823,2019-07-18 19:42:08.132352,2019-07-18 19:43:30.238809,6,0.0003953243347840182,1.4474026854484931e-07,103
104,104,TrialState.COMPLETE,0.37952660024166107,2019-07-18 19:43:30.249879,2019-07-18 19:44:51.882906,219,0.0006592258078589463,0.0003070808701558901,104
105,105,TrialState.COMPLETE,0.41762909293174744,2019-07-18 19:44:51.894128,2019-07-18 19:46:13.771546,219,0.0008871335028205672,0.0007463832429484867,105
106,106,TrialState.COMPLETE,0.4114712327718735,2019-07-18 19:46:13.782897,2019-07-18 19:47:37.351655,232,0.0006626616497970605,0.00031668057870308357,106
107,107,TrialState.COMPLETE,0.4349638968706131,2019-07-18 19:47:37.363207,2019-07-18 19:48:59.984186,223,0.0005477519640872924,9.6927525986087e-05,107
108,108,TrialState.COMPLETE,0.4600520431995392,2019-07-18 19:48:59.995597,2019-07-18 19:50:22.118009,195,0.0009552314474391388,0.0003992507862764176,108
109,109,TrialState.COMPLETE,0.39984656870365143,2019-07-18 19:50:22.129933,2019-07-18 19:51:45.428168,212,0.0009834745282145242,0.00016712829257205862,109
110,110,TrialState.COMPLETE,0.5296625792980194,2019-07-18 19:51:45.439841,2019-07-18 19:53:08.454436,198,4.737022669682085e-06,0.00024788277041798786,110
111,111,TrialState.COMPLETE,0.45704983174800873,2019-07-18 19:53:08.466442,2019-07-18 19:54:31.673464,207,0.0007235912094698595,1.6690335548033753e-05,111
112,112,TrialState.COMPLETE,0.3218310922384262,2019-07-18 19:54:31.685650,2019-07-18 19:55:53.830802,248,0.00024222725223174227,6.190551746755165e-05,112
113,113,TrialState.COMPLETE,0.40989209711551666,2019-07-18 19:55:53.843008,2019-07-18 19:57:16.164008,234,0.000245519769434164,5.6354986476946336e-05,113
114,114,TrialState.COMPLETE,0.4424567371606827,2019-07-18 19:57:16.176186,2019-07-18 19:58:40.477730,249,1.0747611463897277e-05,1.1672084984471259e-05,114
115,115,TrialState.COMPLETE,0.4353496879339218,2019-07-18 19:58:40.490120,2019-07-18 20:00:01.734322,226,0.00020621954728924905,6.925625998153825e-05,115
116,116,TrialState.COMPLETE,0.437593936920166,2019-07-18 20:00:01.746859,2019-07-18 20:01:22.487507,159,0.00015817498525424895,3.366840180252632e-06,116
117,117,TrialState.COMPLETE,0.4171460419893265,2019-07-18 20:01:22.501366,2019-07-18 20:02:45.313348,256,0.00012034401110490677,1.9058213972148765e-05,117
