,number,state,value,datetime_start,datetime_complete,params,params,params,params,system_attrs
,,,,,,dropout_1,l1_neurons,learning_rate,weight_decay,_number
0,0,TrialState.COMPLETE,0.5332297682762146,2019-07-16 18:58:47.048739,2019-07-16 19:00:09.352359,0.7500000000000001,25,4.92162500010804e-06,0.00030445062217496465,0
1,1,TrialState.COMPLETE,0.45851534605026245,2019-07-16 19:00:09.352808,2019-07-16 19:01:28.793184,0.5,79,4.547986022487511e-05,6.049903410772585e-06,1
2,2,TrialState.COMPLETE,0.47786183655261993,2019-07-16 19:01:28.793757,2019-07-16 19:02:49.039449,0.1,9,2.6841356660688033e-05,7.339543260648148e-05,2
3,3,TrialState.COMPLETE,0.47171537578105927,2019-07-16 19:02:49.040112,2019-07-16 19:04:09.066607,0.1,107,0.00039625376985749004,9.664061437531005e-05,3
4,4,TrialState.COMPLETE,0.540197491645813,2019-07-16 19:04:09.067365,2019-07-16 19:05:29.311193,0.25,180,4.220742732016544e-06,1.1595996718904231e-06,4
5,5,TrialState.COMPLETE,0.654413491487503,2019-07-16 19:05:29.312076,2019-07-16 19:06:49.596896,0.9500000000000001,152,1.886260730560441e-05,0.009181654985709583,5
6,6,TrialState.COMPLETE,0.7487041354179382,2019-07-16 19:06:49.597929,2019-07-16 19:08:09.845748,0.3,89,2.4433390074667564e-06,9.147473026601675e-05,6
7,7,TrialState.COMPLETE,0.5831153690814972,2019-07-16 19:08:09.846911,2019-07-16 19:09:30.269967,0.3,75,1.5692613899697413e-06,4.189200898292696e-06,7
8,8,TrialState.COMPLETE,0.4455518275499344,2019-07-16 19:09:30.271234,2019-07-16 19:10:49.987753,0.4,170,0.000600881174585819,9.17539970448392e-05,8
9,9,TrialState.COMPLETE,0.48492302000522614,2019-07-16 19:10:49.989164,2019-07-16 19:12:10.624845,0.4,57,1.5115215411563534e-05,0.00020100858622697918,9
10,10,TrialState.COMPLETE,0.4392975866794586,2019-07-16 19:12:10.626331,2019-07-16 19:13:30.814624,0.6500000000000001,133,0.000681009075668317,0.00201889670965935,10
11,11,TrialState.COMPLETE,0.4337413161993027,2019-07-16 19:13:30.816230,2019-07-16 19:14:51.336077,0.7500000000000001,131,0.0002003936460323631,0.009996746006042159,11
12,12,TrialState.COMPLETE,0.49979105591773987,2019-07-16 19:14:51.337788,2019-07-16 19:16:10.911991,0.9500000000000001,125,0.00013922186886185535,0.009930774782977108,12
13,13,TrialState.COMPLETE,0.42374715209007263,2019-07-16 19:16:10.913881,2019-07-16 19:17:30.169955,0.8500000000000001,189,0.00016913557253938501,0.0013814774713372501,13
14,14,TrialState.COMPLETE,0.43394942581653595,2019-07-16 19:17:30.171962,2019-07-16 19:18:50.857296,0.9000000000000001,192,8.163304033388227e-05,0.0014391543752255976,14
15,15,TrialState.COMPLETE,0.3847801089286804,2019-07-16 19:18:50.859377,2019-07-16 19:20:11.435065,0.6500000000000001,155,0.00019556046534976646,0.0012188764389851083,15
16,16,TrialState.COMPLETE,0.43467971682548523,2019-07-16 19:20:11.437241,2019-07-16 19:21:31.931912,0.6500000000000001,162,0.0003195707791463916,2.3592166433497657e-05,16
17,17,TrialState.COMPLETE,0.4223316162824631,2019-07-16 19:21:31.934276,2019-07-16 19:22:52.588478,0.8500000000000001,191,9.858381001871733e-05,0.001450611306613449,17
18,18,TrialState.COMPLETE,0.44193820655345917,2019-07-16 19:22:52.590973,2019-07-16 19:24:12.886939,0.6000000000000001,148,6.866483482740881e-05,0.0033675253562528602,18
19,19,TrialState.COMPLETE,0.42136426270008087,2019-07-16 19:24:12.889532,2019-07-16 19:25:34.151939,0.8500000000000001,191,0.0008815431859309136,0.0005875113773039033,19
20,20,TrialState.COMPLETE,0.37336133420467377,2019-07-16 19:25:34.154648,2019-07-16 19:26:54.496727,0.8,114,0.0008263365316989457,0.0004923470214114504,20
21,21,TrialState.COMPLETE,0.4514566659927368,2019-07-16 19:26:54.499576,2019-07-16 19:28:14.689628,0.6000000000000001,109,0.0009864989684205824,0.0003573963794984591,21
22,22,TrialState.COMPLETE,0.440064936876297,2019-07-16 19:28:14.692547,2019-07-16 19:29:34.964006,0.8,51,0.0003302729142966176,0.0039628627572008985,22
23,23,TrialState.COMPLETE,0.4302738308906555,2019-07-16 19:29:34.967042,2019-07-16 19:30:55.270199,0.6000000000000001,118,0.00048236326381250264,0.0006812024881924075,23
24,24,TrialState.COMPLETE,0.42732664942741394,2019-07-16 19:30:55.273357,2019-07-16 19:32:16.047978,0.55,142,0.00021164386648373106,3.158076240010635e-05,24
25,25,TrialState.COMPLETE,0.45407257974147797,2019-07-16 19:32:16.051313,2019-07-16 19:33:36.662605,0.7500000000000001,101,4.538249615521787e-05,0.004727865809162693,25
26,26,TrialState.COMPLETE,0.47008566558361053,2019-07-16 19:33:36.666054,2019-07-16 19:34:56.798946,0.7500000000000001,170,0.0009306778003825673,0.0005693528413375339,26
27,27,TrialState.COMPLETE,0.47842182219028473,2019-07-16 19:34:56.802474,2019-07-16 19:36:16.806721,0.5,56,1.2135297963075997e-05,3.747550028375321e-05,27
28,28,TrialState.COMPLETE,0.5885825753211975,2019-07-16 19:36:16.810401,2019-07-16 19:37:36.560071,0.7500000000000001,29,7.498279645748326e-06,0.000312139102362003,28
29,29,TrialState.COMPLETE,0.4164206087589264,2019-07-16 19:37:36.563825,2019-07-16 19:38:56.722928,0.7500000000000001,88,0.0002480347689613434,0.00019657227901854818,29
30,30,TrialState.COMPLETE,0.4384691119194031,2019-07-16 19:38:56.726908,2019-07-16 19:40:17.268740,0.7000000000000001,157,0.00011623540647351902,1.1258470623601635e-05,30
31,31,TrialState.COMPLETE,0.4404333829879761,2019-07-16 19:40:17.272693,2019-07-16 19:41:37.381967,0.05,140,5.3395585288239586e-05,0.0009606425831516184,31
32,32,TrialState.COMPLETE,0.4270547479391098,2019-07-16 19:41:37.386154,2019-07-16 19:42:57.135372,0.5,116,0.0005089394262938453,0.0001889516521508439,32
33,33,TrialState.COMPLETE,0.43935300409793854,2019-07-16 19:42:57.139667,2019-07-16 19:44:17.455816,0.7000000000000001,69,3.214862724464039e-05,0.0025598510968933403,33
34,34,TrialState.COMPLETE,0.4172794371843338,2019-07-16 19:44:17.460183,2019-07-16 19:45:38.069162,0.45,34,0.00031124195558655284,0.006564473732321375,34
35,35,TrialState.COMPLETE,0.5989364385604858,2019-07-16 19:45:38.073713,2019-07-16 19:46:58.491674,0.9500000000000001,94,2.8288558554007565e-05,0.0004706778567884731,35
36,36,TrialState.COMPLETE,0.45563550293445587,2019-07-16 19:46:58.496369,2019-07-16 19:48:18.395324,0.3,5,0.0006626014051787783,5.1452293158336875e-05,36
37,37,TrialState.COMPLETE,0.4877470135688782,2019-07-16 19:48:18.400130,2019-07-16 19:49:38.571064,0.25,174,0.00015222038628078595,1.6001297415551566e-05,37
38,38,TrialState.COMPLETE,1.6231067180633545,2019-07-16 19:49:38.575964,2019-07-16 19:50:58.996419,0.9500000000000001,83,4.122295316978691e-06,2.2662859662294683e-06,38
39,39,TrialState.COMPLETE,0.6710737347602844,2019-07-16 19:50:59.001496,2019-07-16 19:52:19.957556,0.7000000000000001,103,1.2647140286312367e-06,0.0001385030650952193,39
40,40,TrialState.COMPLETE,0.40191662311553955,2019-07-16 19:52:19.962651,2019-07-16 19:53:40.011436,0.45,181,0.00044947297251764104,0.0010048467580641071,40
41,41,TrialState.COMPLETE,0.7941001951694489,2019-07-16 19:53:40.016613,2019-07-16 19:55:00.681582,0.9500000000000001,123,2.0522989040632936e-05,0.006483914905619268,41
42,42,TrialState.COMPLETE,0.465104803442955,2019-07-16 19:55:00.686921,2019-07-16 19:56:21.080495,0.2,161,4.100696362588312e-05,7.630015746850092e-05,42
43,43,TrialState.COMPLETE,0.4440743774175644,2019-07-16 19:56:21.086024,2019-07-16 19:57:40.588083,0.45,132,6.619479138588785e-05,0.0022708943596734454,43
44,44,TrialState.COMPLETE,0.4406835734844208,2019-07-16 19:57:40.593734,2019-07-16 19:59:01.326957,0.4,44,0.00023426426822617898,0.00012480442990475845,44
45,45,TrialState.COMPLETE,0.49952174723148346,2019-07-16 19:59:01.332719,2019-07-16 20:00:21.588646,0.9500000000000001,73,0.00012017166657585937,0.0002499979958080619,45
46,46,TrialState.COMPLETE,0.42836354672908783,2019-07-16 20:00:21.594507,2019-07-16 20:01:41.518183,0.8500000000000001,148,0.0007266244435171077,0.0009144916484085597,46
47,47,TrialState.COMPLETE,0.6029850542545319,2019-07-16 20:01:41.524121,2019-07-16 20:03:01.712073,0.8500000000000001,66,1.0380684847769217e-05,6.083354487380969e-05,47
48,48,TrialState.COMPLETE,1.0970914363861084,2019-07-16 20:03:01.718181,2019-07-16 20:04:22.222841,0.6000000000000001,113,2.7041871045850305e-06,5.333903882730451e-06,48
49,49,TrialState.COMPLETE,0.465884804725647,2019-07-16 20:04:22.229066,2019-07-16 20:05:41.653356,0.7000000000000001,12,9.010806338326268e-05,0.0017270119433444554,49
50,50,TrialState.COMPLETE,0.4917379766702652,2019-07-16 20:05:41.659671,2019-07-16 20:07:01.649857,0.8500000000000001,136,0.00037422047812076084,1.0747495821162978e-06,50
51,51,TrialState.COMPLETE,0.4334045499563217,2019-07-16 20:07:01.656358,2019-07-16 20:08:22.015659,0.6000000000000001,182,0.00017320029022548206,0.00041739606197568766,51
52,52,TrialState.COMPLETE,0.47822335362434387,2019-07-16 20:08:22.022184,2019-07-16 20:09:41.967047,0.8500000000000001,124,0.0006090519704788863,0.0066350847144381565,52
53,53,TrialState.COMPLETE,0.4583400636911392,2019-07-16 20:09:41.973897,2019-07-16 20:11:01.720163,0.6000000000000001,94,0.0002788427281617552,0.002707757361752472,53
54,54,TrialState.COMPLETE,0.5130470395088196,2019-07-16 20:11:01.726920,2019-07-16 20:12:22.075399,0.8500000000000001,165,0.0009843533628589676,0.004478126175470695,54
55,55,TrialState.COMPLETE,0.45351889729499817,2019-07-16 20:12:22.082323,2019-07-16 20:13:42.275367,0.8500000000000001,147,6.473167066391613e-05,9.42149823611107e-06,55
56,56,TrialState.COMPLETE,0.5228164792060852,2019-07-16 20:13:42.282365,2019-07-16 20:15:02.990795,0.4,82,2.1198274694358723e-05,0.0006657912353000217,56
57,57,TrialState.COMPLETE,0.42837321758270264,2019-07-16 20:15:02.997947,2019-07-16 20:16:22.509389,0.8500000000000001,108,0.0004152341462043287,0.00130862321170378,57
58,58,TrialState.COMPLETE,0.4427175968885422,2019-07-16 20:16:22.516732,2019-07-16 20:17:43.013294,0.8500000000000001,126,0.0001833516230962793,0.00011362657932359537,58
59,59,TrialState.COMPLETE,0.4057805836200714,2019-07-16 20:17:43.020743,2019-07-16 20:19:03.569843,0.6000000000000001,141,0.0007907694069314414,0.00025608840197613827,59
