,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,system_attrs
,,,,,,lambda1_dim1,lambda1_dim2,lambda2_dim1,lambda2_dim2,learning_rate,_number
0,0,TrialState.COMPLETE,0.6125340461730957,2019-08-12 13:54:10.501613,2019-08-12 13:55:39.649293,0.0002736077637784042,0.0004359334153468404,0.15000000000000002,0.55,1.4686557232692108e-06,0
1,1,TrialState.COMPLETE,0.47933703660964966,2019-08-12 13:55:39.649762,2019-08-12 13:57:02.980198,3.05569020979054e-06,5.755472901423046e-05,0.45,0.8500000000000001,9.42171361744602e-06,1
2,2,TrialState.COMPLETE,0.5002610981464386,2019-08-12 13:57:02.980783,2019-08-12 13:58:28.588461,1.2373183125468613e-06,1.3863084541172153e-06,0.05,0.7,1.1057822017014935e-05,2
3,3,TrialState.COMPLETE,0.5719941556453705,2019-08-12 13:58:28.589143,2019-08-12 13:59:56.956746,6.1354624426985e-05,2.4963015673685555e-06,0.4,0.6,1.065096897978811e-06,3
4,4,TrialState.COMPLETE,0.4600031226873398,2019-08-12 13:59:56.957576,2019-08-12 14:01:21.388818,0.0012706538304294872,6.1538291413655565e-06,0.4,0.8,0.00030997125843119623,4
5,5,TrialState.COMPLETE,0.4839743673801422,2019-08-12 14:01:21.389769,2019-08-12 14:02:46.501692,8.230007416577451e-06,7.089653593863938e-06,0.25,0.5,8.240640052094373e-05,5
6,6,TrialState.COMPLETE,0.4274531900882721,2019-08-12 14:02:46.502796,2019-08-12 14:04:10.410461,0.0004448327083182723,0.009192085785008325,0.15000000000000002,0.8500000000000001,0.00014329553186922245,6
7,7,TrialState.COMPLETE,0.4010704755783081,2019-08-12 14:04:10.411687,2019-08-12 14:05:33.163678,0.002707752290939113,2.8726515923456057e-06,0.5,0.65,0.00011761992780352245,7
8,8,TrialState.COMPLETE,0.4355521649122238,2019-08-12 14:05:33.165052,2019-08-12 14:06:56.627818,1.5287493425742247e-06,3.0721852632358995e-06,0.35000000000000003,0.9,0.0009938611091262716,8
9,9,TrialState.COMPLETE,1.2140293717384338,2019-08-12 14:06:56.629314,2019-08-12 14:08:19.400823,1.052911939654221e-05,0.007805074304951569,0.05,0.8,1.6911730571779426e-06,9
10,10,TrialState.COMPLETE,0.41217225790023804,2019-08-12 14:08:19.402472,2019-08-12 14:09:42.323216,0.006552550121430429,5.1030749976622795e-05,0.35000000000000003,0.6,0.0008726001091215865,10
11,11,TrialState.COMPLETE,0.5154511630535126,2019-08-12 14:09:42.324979,2019-08-12 14:11:05.017903,0.009261836513842379,0.00042858614663329796,0.3,0.5,2.9525441447030148e-05,11
12,12,TrialState.COMPLETE,0.43706071376800537,2019-08-12 14:11:05.019825,2019-08-12 14:12:27.970477,0.0028000446980454793,2.026654770140625e-05,0.5,0.5,0.00032450445597652545,12
13,13,TrialState.COMPLETE,0.47178472578525543,2019-08-12 14:12:27.972541,2019-08-12 14:13:50.076409,5.8920349939249295e-05,0.00038824280531811787,0.25,0.5,3.474375674413626e-05,13
14,14,TrialState.COMPLETE,0.5393948256969452,2019-08-12 14:13:50.078644,2019-08-12 14:15:13.181212,0.0014473016015284434,0.0016716471211789187,0.2,0.55,4.756787904939649e-06,14
15,15,TrialState.COMPLETE,0.49741318821907043,2019-08-12 14:15:13.183559,2019-08-12 14:16:34.817242,0.000229010883972857,1.0613067069900457e-06,0.05,0.5,5.680355111925246e-05,15
16,16,TrialState.COMPLETE,0.4670265018939972,2019-08-12 14:16:34.819768,2019-08-12 14:17:57.828365,0.004065232319620265,1.35594391534618e-05,0.5,0.5,0.0002427558432681143,16
17,17,TrialState.COMPLETE,0.39360497891902924,2019-08-12 14:17:57.831059,2019-08-12 14:19:20.736304,0.006810608721280533,9.011883267360215e-05,0.4,0.5,0.0009693838954456301,17
18,18,TrialState.COMPLETE,0.4444667845964432,2019-08-12 14:19:20.739067,2019-08-12 14:20:43.800072,0.0007768169952278947,0.00012238963908632746,0.5,0.8,0.0007014462156449496,18
19,19,TrialState.COMPLETE,0.41640540957450867,2019-08-12 14:20:43.802947,2019-08-12 14:22:06.653801,0.008032252444058181,0.0001471974187687482,0.5,0.8,0.0005287885189308149,19
20,20,TrialState.COMPLETE,0.4839394837617874,2019-08-12 14:22:06.656877,2019-08-12 14:23:29.207702,0.0032821365334482445,0.002599838213301981,0.5,0.8,0.00013945328272381842,20
21,21,TrialState.COMPLETE,0.4551721513271332,2019-08-12 14:23:29.210806,2019-08-12 14:24:52.542103,0.001833616653661119,2.9548190697521023e-05,0.45,0.8,0.0001390350141065147,21
22,22,TrialState.COMPLETE,0.4634762704372406,2019-08-12 14:24:52.545369,2019-08-12 14:26:22.460637,0.00903369192033993,0.001667688800124382,0.45,0.75,1.7029584731441227e-05,22
23,23,TrialState.COMPLETE,0.4716547429561615,2019-08-12 14:26:22.464175,2019-08-12 14:27:49.836847,0.00015844911925782853,8.430134310150896e-06,0.45,0.75,0.0004247681604472847,23
24,24,TrialState.COMPLETE,0.4834308922290802,2019-08-12 14:27:49.840434,2019-08-12 14:29:18.203715,0.0005847794598332899,0.00023878346252529804,0.4,0.8,9.335227949782665e-05,24
25,25,TrialState.COMPLETE,0.7152842879295349,2019-08-12 14:29:18.207403,2019-08-12 14:30:43.178459,2.8028220149065007e-05,5.0377292192075794e-05,0.4,0.8,3.6010165019933904e-06,25
26,26,TrialState.COMPLETE,0.45027363300323486,2019-08-12 14:30:43.182310,2019-08-12 14:32:12.111723,0.004626582180053206,2.3267075159284285e-06,0.4,0.8,3.885104655945886e-05,26
27,27,TrialState.COMPLETE,0.3620401918888092,2019-08-12 14:32:12.115732,2019-08-12 14:33:41.306868,0.0010236686028633213,0.000879188562586802,0.35000000000000003,0.75,0.0002106706882844943,27
28,28,TrialState.COMPLETE,0.39812368154525757,2019-08-12 14:33:41.310992,2019-08-12 14:35:10.763174,0.0003560050498728149,0.0011924975458132943,0.35000000000000003,0.8,0.00021101115158098628,28
29,29,TrialState.COMPLETE,0.4135841131210327,2019-08-12 14:35:10.767476,2019-08-12 14:36:40.310035,0.0011834146496722813,0.0007793435778385686,0.35000000000000003,0.8,0.0006392679552684862,29
30,30,TrialState.COMPLETE,0.43059979379177094,2019-08-12 14:36:40.314507,2019-08-12 14:38:08.555094,0.0001145333939420991,0.004468835846302363,0.35000000000000003,0.8,0.0009237530258453286,30
31,31,TrialState.COMPLETE,0.4618505835533142,2019-08-12 14:38:08.560056,2019-08-12 14:39:36.140411,0.0007489057581281343,0.00023097089189431716,0.35000000000000003,0.8,0.00020437536365165997,31
32,32,TrialState.COMPLETE,0.4270497262477875,2019-08-12 14:39:36.145073,2019-08-12 14:41:04.435782,0.00031556789833399443,9.368274913363172e-05,0.35000000000000003,0.8,0.0004420128243830969,32
33,33,TrialState.COMPLETE,0.4725034832954407,2019-08-12 14:41:04.440617,2019-08-12 14:42:32.558127,5.402927786295918e-05,0.0007283131419351163,0.2,0.8,5.2133337492745986e-05,33
34,34,TrialState.COMPLETE,0.46855679154396057,2019-08-12 14:42:32.563105,2019-08-12 14:43:59.338619,0.0009955164511202019,0.0036581716600853223,0.35000000000000003,0.8,2.062258855653525e-05,34
35,35,TrialState.COMPLETE,0.4582597613334656,2019-08-12 14:43:59.343702,2019-08-12 14:45:27.463174,0.0021604317552926674,0.00024369700236106276,0.35000000000000003,0.8,0.0003450436062472617,35
36,36,TrialState.COMPLETE,0.5162989497184753,2019-08-12 14:45:27.468327,2019-08-12 14:46:54.767071,0.0001925086780408905,8.340812051714394e-05,0.35000000000000003,0.8,7.062957294140241e-05,36
37,37,TrialState.COMPLETE,0.5123945474624634,2019-08-12 14:46:54.772406,2019-08-12 14:48:20.821514,1.404569139486954e-05,2.9437973343074664e-05,0.35000000000000003,0.8,1.1697761139556411e-05,37
38,38,TrialState.COMPLETE,0.4336754083633423,2019-08-12 14:48:20.826973,2019-08-12 14:49:48.020358,0.00502842506053309,0.0006248915239506134,0.35000000000000003,0.8,0.00019087705685039643,38
39,39,TrialState.COMPLETE,0.4228733628988266,2019-08-12 14:49:48.026253,2019-08-12 14:51:13.909420,4.012710142751117e-06,0.005607061864017036,0.35000000000000003,0.8500000000000001,9.779235344198759e-05,39
40,40,TrialState.COMPLETE,0.4628662168979645,2019-08-12 14:51:13.915194,2019-08-12 14:52:40.664712,9.840923221668354e-05,0.0001800663113887938,0.15000000000000002,0.8,0.0009634799578608465,40
41,41,TrialState.COMPLETE,0.4067832976579666,2019-08-12 14:52:40.670659,2019-08-12 14:54:06.505985,0.00046367059183191834,0.0003383957589134639,0.35000000000000003,0.8,0.0006374196164895104,41
42,42,TrialState.COMPLETE,0.4490039199590683,2019-08-12 14:54:06.512059,2019-08-12 14:55:33.006627,0.0018146968849188227,7.606426548960501e-05,0.35000000000000003,0.8500000000000001,0.00030604578923857674,42
43,43,TrialState.COMPLETE,0.7298022508621216,2019-08-12 14:55:33.013001,2019-08-12 14:56:57.516515,2.822010679813054e-05,0.0010786668478942288,0.35000000000000003,0.8500000000000001,1.2939748238013267e-06,43
44,44,TrialState.COMPLETE,0.5609728693962097,2019-08-12 14:56:57.522754,2019-08-12 14:58:24.207649,0.005855597831992363,4.748118710962301e-06,0.35000000000000003,0.8500000000000001,6.2922341095800994e-06,44
45,45,TrialState.COMPLETE,0.4112449586391449,2019-08-12 14:58:24.214096,2019-08-12 14:59:51.428951,1.052202923885464e-06,0.0024305213599638492,0.05,0.8500000000000001,0.00027598595302381267,45
46,46,TrialState.COMPLETE,0.4490920305252075,2019-08-12 14:59:51.435754,2019-08-12 15:01:18.285141,0.003340208217376723,1.3649631305112393e-05,0.35000000000000003,0.8500000000000001,2.6092662716140476e-05,46
47,47,TrialState.COMPLETE,0.6675450205802917,2019-08-12 15:01:18.291956,2019-08-12 15:02:45.144456,0.0009098713816289727,0.009959461587989219,0.35000000000000003,0.8500000000000001,2.267436125829743e-06,47
48,48,TrialState.COMPLETE,0.4232878088951111,2019-08-12 15:02:45.151404,2019-08-12 15:04:11.126944,0.0006086068000169049,3.725061811161378e-05,0.35000000000000003,0.8500000000000001,0.0004938113733308964,48
49,49,TrialState.COMPLETE,0.4572513550519943,2019-08-12 15:04:11.134159,2019-08-12 15:05:37.017061,0.0099915281046178,0.0005441785256881581,0.05,0.8500000000000001,0.00016582788905271156,49
50,50,TrialState.COMPLETE,0.4253543019294739,2019-08-12 15:05:37.024307,2019-08-12 15:07:03.239949,0.0018705222483198225,1.6486256824018454e-05,0.35000000000000003,0.8500000000000001,5.926373580156711e-05,50
51,51,TrialState.COMPLETE,0.49922943115234375,2019-08-12 15:07:03.247434,2019-08-12 15:08:29.230463,0.006981955216042067,0.0003145989955865313,0.35000000000000003,0.8500000000000001,0.00037554288222183224,51
52,52,TrialState.COMPLETE,0.43915629386901855,2019-08-12 15:08:29.238094,2019-08-12 15:09:56.718306,0.0028924270822343373,6.140499223117328e-05,0.35000000000000003,0.8,0.00010881811905279269,52
53,53,TrialState.COMPLETE,0.48033370077610016,2019-08-12 15:09:56.725992,2019-08-12 15:11:23.664661,2.0358813621712262e-06,0.00014307128099364774,0.35000000000000003,0.8500000000000001,1.4300373199578253e-05,53
54,54,TrialState.COMPLETE,0.4239742159843445,2019-08-12 15:11:23.672316,2019-08-12 15:12:52.300483,0.00012925302512822303,1.7485875756114572e-06,0.35000000000000003,0.8500000000000001,0.0007570430338896634,54
55,55,TrialState.COMPLETE,0.4917319566011429,2019-08-12 15:12:52.308369,2019-08-12 15:14:20.406524,0.00024532657002698745,7.876150389433256e-06,0.35000000000000003,0.8500000000000001,7.790101801653224e-06,55
56,56,TrialState.COMPLETE,0.4334541857242584,2019-08-12 15:14:20.414628,2019-08-12 15:15:50.069266,0.0013597894585899277,0.007286231572842428,0.35000000000000003,0.8500000000000001,0.00013012275093154637,56
57,57,TrialState.COMPLETE,0.4220874160528183,2019-08-12 15:15:50.077311,2019-08-12 15:17:17.974733,0.0004435681369100312,0.0009812235546369738,0.35000000000000003,0.8500000000000001,4.405645257923473e-05,57
